tab,card,file,db_reads,db_writes,api_endpoints,visible_to,plan_gated,last_commit_date,decision,notes
Settings/general,Non-admin: BillingCard (bottom),src/components/dashboard/settings/BillingCard.tsx,same as admin top,Stripe portal,POST /api/billing/portal,client,no,active,consolidate,Same component as Settings hero (when admin)
Settings/general,Non-admin: SetupProgressRing,src/components/dashboard/settings/SetupProgressRing.tsx,clients(setup state),none,none,client,no,active,consolidate,"Computes a setup % similar to QuickSetupStrip and Overview readiness band. Three signals showing the same thing. Pick one"
Settings/general,Non-admin: 'Phone & call forwarding' link → Go Live,src/components/dashboard/settings/AgentTab.tsx:792,clients.twilio_number,none,none,client,no,active,consolidate,"Duplicates Overview ActivationTile + Forwarding nudge + QuickSetupStrip. Same 'set up forwarding' nudge shown 4 places"
Settings/general,ActivityLog (full width),src/components/dashboard/settings/ActivityLog.tsx,activity_logs(client),none,GET /api/dashboard/activity-log,both,no,active,keep,Audit trail; admin diagnostic
Settings/general,SettingsPanel side drawer / HoursCard,src/components/dashboard/settings/HoursCard.tsx,clients.business_hours_weekday; clients.business_hours_weekend; clients.after_hours_behavior; clients.after_hours_emergency_phone,those columns,PATCH /api/dashboard/settings,both,no,active,consolidate,"Same fields as Overview HoursModal AND Settings QuickSetupStrip. Pick one home (recommend Overview modal); kill the drawer"
Settings/notifications,AlertsTab (Telegram + Email setup + style),src/components/dashboard/settings/AlertsTab.tsx,clients.telegram_*; clients.email_notifications_enabled; clients.alert_email; clients.alert_email_cc; clients.telegram_style; clients.weekly_digest_enabled,those columns,PATCH /api/dashboard/settings,both,no,active,keep,Full alert config; canonical home for alert routing
Settings/notifications,SmsTab (SMS template + toggle),src/components/dashboard/settings/SmsTab.tsx,clients.sms_enabled; clients.sms_template,those columns,PATCH /api/dashboard/settings,both,no,active,investigate,"Duplicates Overview AfterCallModal AND Settings hero NotificationsWidget AND /dashboard/notifications. 4 surfaces for sms_enabled + sms_template — collapse to one"
Settings/billing,BillingTab (full plan management),src/components/dashboard/settings/BillingTab.tsx,clients.* billing columns; usage,Stripe portal,POST /api/billing/portal,both,no,active,investigate,"Duplicates BillingCard + PlanInfoCard. Three surfaces (BillingTab, BillingCard top, BillingCard bottom). Pick one — recommend BillingCard inline, drop the tab"
Admin,SystemPulse (overall health),src/components/dashboard/SystemPulse.tsx,clients(active count); call_logs(today); call_logs(processing-stuck),none,GET /api/admin/system-pulse,admin,no,active,keep,Live system health monitor
Admin,ActionItems (top-priority alerts),src/components/dashboard/ActionItems.tsx,clients.last_agent_sync_status; call_logs(stuck/failed); notification_logs(failed),none,GET /api/admin/action-items,admin,no,active,keep,Authoritative 'fix these now' list
Admin,LiveCallBanner,src/components/dashboard/LiveCallBanner.tsx,call_logs(live),call_logs(end),GET /api/admin/live-calls,admin,no,active,keep,Same shared component as Overview
Admin,ClientHealthBar,src/components/dashboard/ClientHealthBar.tsx,clients(all); call_logs(HOT month),none,GET /api/admin/client-health,admin,no,active,keep,Per-client health roll-up with minutes + HOT counts
Admin,MonthlySpendCard (legacy /dashboard only),src/components/dashboard/MonthlySpendCard.tsx,call_logs(billed_cost_cents MTD),none,GET /api/admin/spend,admin,no,active,investigate,"Shows on legacy /dashboard admin route but NOT on /dashboard/admin redesign route. Behind feature-flag fork. Consolidate when redesign rolls fully — currently 2 admin landing pages exist"
Admin,TalkToZaraAdminButton (legacy /dashboard only),src/components/dashboard/TalkToZaraAdminButton.tsx,(env: zara agent ID),(opens browser call),POST /api/admin/zara-call,admin,no,active,keep,Voice-driven god mode — keep on both admin pages
Admin,Admin tools grid (Notifications/Harness/Learning Bank),src/app/dashboard/admin/page.tsx:93,none,none,none,admin,no,active,keep,3 simple link cards
Admin/notifications,PageHeader,src/components/dashboard/PageHeader.tsx,none,none,none,admin,no,active,keep,GOLD STANDARD — title + subtitle only
Admin/notifications,StatsRibbon (4 channels x 9 statuses),src/components/admin/notifications/StatsRibbon.tsx,notification_logs(aggregate),none,(server-side aggregate),admin,no,active,keep,GOLD STANDARD — single horizontal stats row
Admin/notifications,FilterStrip,src/components/admin/notifications/FilterStrip.tsx,none,none,URL params,admin,no,active,keep,GOLD STANDARD — URL-driven filter bar
Admin/notifications,NotificationRow x N,src/components/admin/notifications/NotificationRow.tsx,notification_logs(by id),none,none (already loaded),admin,no,active,keep,GOLD STANDARD — row expand for full content
Admin/notifications,LifecycleDrawer (per-client),src/components/admin/notifications/LifecycleDrawer.tsx,clients(by id); notification_logs(by client),none,GET /api/admin/notifications/lifecycle,admin,no,active,keep,Per-client onboarding lifecycle drawer
Nav,Sidebar 'Overview v2' duplicate nav entry,src/components/dashboard/dashboardNav.tsx:25,none,none,none,both,no,active,remove,"Sidebar has both '/dashboard' (Overview) AND '/dashboard/v2' (Overview v2) entries pointing to nearly the same surface. Trap. Kill the v2 entry"
